year,quarter,TotalkWh,TotalAccounts,temperature_2m_max,temperature_2m_min,cumulative_solar,BEV,PHEV,load_per_account,delta_totalkwh,delta_totalaccounts,delta_load_per_account,Income_Median,Pct_Multifamily,Locale,Pct_Rentalunits,Educ_Attainment_L5,Pct no vehicles,CommuteGr45min,Commute15min,Commute30min,Total_Pop,Total_Pop_Median_age,GRAPI_<30%,GRAPI_>30%,zip_code
2014,4,3392907.0,9823.666666666666,23.77111,12.383064,47.0,2.0,5.0,345.38091683349734,0.0,0.0,0.0,21845.2,24.07,Suburban Large,65.96,1.44,10.52,27.3090042,21.64730742,51.043688382,5332.0,29.84,39.59,60.36,90001
2015,1,3296242.6666666665,9815.666666666666,23.522112,10.638778,77.0,4.0,11.0,335.8144462933406,-96664.33333333349,-8.0,-9.566470540156729,21845.2,24.07,Suburban Large,65.96,1.44,10.52,27.3090042,21.64730742,51.043688382,5332.0,29.84,39.59,60.36,90001
2015,2,3008558.6666666665,9819.0,24.676,13.405121,77.0,4.0,11.0,306.401738126761,-287684.0,3.3333333333339397,-29.41270816657959,21845.2,24.07,Suburban Large,65.96,1.44,10.52,27.3090042,21.64730742,51.043688382,5332.0,29.84,39.59,60.36,90001
2015,3,3905019.6666666665,9816.666666666666,30.102629,18.839045,77.0,4.0,11.0,397.7948726655348,896461.0,-2.3333333333339397,91.39313453877378,21845.2,24.07,Suburban Large,65.96,1.44,10.52,27.3090042,21.64730742,51.043688382,5332.0,29.84,39.59,60.36,90001
2015,4,3781343.6666666665,9854.666666666666,23.809694,11.786869,77.0,4.0,11.0,383.7109660397781,-123676.0,38.0,-14.083906625756697,21845.2,24.07,Suburban Large,65.96,1.44,10.52,27.3090042,21.64730742,51.043688382,5332.0,29.84,39.59,60.36,90001
2016,1,3499226.6666666665,9873.666666666666,21.602373,9.636989,113.0,4.0,18.0,354.39991897640186,-282117.0,19.0,-29.311047063376236,21845.2,24.07,Suburban Large,65.96,1.44,10.52,27.3090042,21.64730742,51.043688382,5332.0,29.84,39.59,60.36,90001
2016,2,3003532.6666666665,9854.666666666666,25.084242,13.747429,113.0,4.0,18.0,304.7827763496144,-495694.0,-19.0,-49.61714262678748,21845.2,24.07,Suburban Large,65.96,1.44,10.52,27.3090042,21.64730742,51.043688382,5332.0,29.84,39.59,60.36,90001
2016,3,3850270.3333333335,9852.666666666666,29.916218,17.91948,113.0,4.0,18.0,390.7845930035862,846737.666666667,-2.0,86.00181665397184,21845.2,24.07,Suburban Large,65.96,1.44,10.52,27.3090042,21.64730742,51.043688382,5332.0,29.84,39.59,60.36,90001
2016,4,3510080.6666666665,9885.666666666666,23.26676,12.094479,113.0,4.0,18.0,355.06767373638604,-340189.666666667,33.0,-35.71691926720018,21845.2,24.07,Suburban Large,65.96,1.44,10.52,27.3090042,21.64730742,51.043688382,5332.0,29.84,39.59,60.36,90001
2017,1,3551888.0,9841.333333333334,18.13889,10.017777,140.0,11.0,38.0,360.91532312694756,41807.33333333349,-44.33333333333212,5.847649390561514,21845.2,24.07,Suburban Large,65.96,1.44,10.52,27.3090042,21.64730742,51.043688382,5332.0,29.84,39.59,60.36,90001
